time,VEOG,HEOG,FZ,CZ,PZ,F7,F8,T5,T6,A2,T3,T4,F3,F4,C3,C4,AF3,AF4,FC3,FC4,CP3,CP4,FT7,FT8,P3,P4,PO7,PO8,P5,P6,OZ,Midline,LF,RF,LC,RC,LP,RP,LF_5s,RF_5s,LP_5s,RP_5s,ROI
-90,-0.5656,-0.3707,-1.4112,-1.2747,-0.8586,-1.1616,-0.71,-0.5573,-0.0502,0.4492,-1.0301,-0.368,-1.422,-1.1306,-1.1493,-0.6923,-1.1508,-0.9724,-1.2937,-0.9588,-0.7584,-0.4403,-1.0748,-0.5225,-0.3632,-0.2177,0.3657,0.3107,0.1635,0.3523,-0.3779,-1.1815,-1.2023,-0.8339,-1.0579,-0.6149,-0.0978,0.0988,-1.2206,-0.8589,-0.2299,-0.009,-0.7836
-85,-0.6731,-0.3779,-1.6028,-1.5013,-1.0453,-1.2887,-0.8452,-0.7242,-0.2255,0.4236,-1.1793,-0.5362,-1.6009,-1.3215,-1.3498,-0.8979,-1.3036,-1.1205,-1.4779,-1.1532,-0.9537,-0.6429,-1.2021,-0.6551,-0.5411,-0.3957,0.3192,0.2336,0.0593,0.2219,-0.4251,-1.3831,-1.3488,-0.9856,-1.2402,-0.8076,-0.2217,-0.0414,-1.3747,-1.0191,-0.3681,-0.1617,-0.9794
-80,-0.7669,-0.3782,-1.7721,-1.7061,-1.2147,-1.3956,-0.9676,-0.8752,-0.3963,0.3912,-1.3046,-0.6939,-1.7565,-1.4925,-1.5247,-1.0904,-1.4375,-1.2526,-1.6363,-1.3293,-1.1295,-0.8352,-1.3069,-0.7793,-0.7069,-0.5669,0.2728,0.1557,-0.0422,0.0919,-0.4625,-1.5643,-1.4741,-1.123,-1.3988,-0.9872,-0.3379,-0.1789,-1.5065,-1.1643,-0.4962,-0.3102,-1.1583
-75,-0.8482,-0.3729,-1.92,-1.8889,-1.3647,-1.4854,-1.0788,-1.0067,-0.5598,0.3505,-1.4068,-0.8412,-1.8892,-1.6452,-1.6734,-1.2676,-1.5522,-1.3693,-1.7692,-1.4864,-1.2831,-1.0144,-1.3901,-0.8951,-0.8573,-0.7278,0.2282,0.0799,-0.1357,-0.0336,-0.4918,-1.7246,-1.5792,-1.2471,-1.5331,-1.1524,-0.4429,-0.3103,-1.6172,-1.2949,-0.6109,-0.4511,-1.3182
-70,-0.9168,-0.361,-2.0486,-2.0494,-1.4937,-1.5605,-1.1805,-1.1172,-0.7135,0.3016,-1.4878,-0.9781,-2.0004,-1.7815,-1.7961,-1.4284,-1.6494,-1.4732,-1.8786,-1.6251,-1.4135,-1.1784,-1.4538,-1.0027,-0.9904,-0.8758,0.1856,0.0078,-0.2185,-0.1518,-0.5148,-1.8639,-1.666,-1.3595,-1.644,-1.3025,-0.5351,-0.4333,-1.7085,-1.4126,-0.7108,-0.5823,-1.4581
-65,-0.9716,-0.3396,-2.1597,-2.1883,-1.6014,-1.6232,-1.2743,-1.2061,-0.8559,0.2462,-1.5499,-1.1041,-2.0918,-1.9032,-1.8939,-1.5733,-1.7317,-1.5672,-1.9666,-1.7471,-1.5214,-1.327,-1.5014,-1.102,-1.1053,-1.0101,0.1446,-0.0614,-0.2897,-0.262,-0.5316,-1.9831,-1.737,-1.4617,-1.733,-1.4379,-0.6141,-0.5473,-1.7829,-1.5188,-0.7956,-0.7033,-1.5779
-60,-1.0121,-0.3073,-2.2543,-2.3064,-1.6895,-1.6748,-1.3612,-1.2736,-0.9869,0.1862,-1.5939,-1.2194,-2.1653,-2.0113,-1.9681,-1.7037,-1.8013,-1.6529,-2.0346,-1.855,-1.608,-1.4615,-1.5342,-1.1932,-1.2021,-1.1319,0.1041,-0.1296,-0.3488,-0.3651,-0.5429,-2.0834,-1.7939,-1.5546,-1.8011,-1.5599,-0.6801,-0.6534,-1.8421,-1.6147,-0.8657,-0.815,-1.6786
-55,-1.0368,-0.2658,-2.3322,-2.4044,-1.7607,-1.7152,-1.4412,-1.3206,-1.1075,0.1217,-1.6178,-1.3252,-2.2217,-2.1063,-2.0208,-1.82,-1.8587,-1.7294,-2.084,-1.95,-1.6751,-1.5828,-1.551,-1.2773,-1.2813,-1.2432,0.0641,-0.1989,-0.3955,-0.4626,-0.5514,-2.1658,-1.8367,-1.6386,-1.8494,-1.6695,-0.7333,-0.7531,-1.8861,-1.7009,-0.9217,-0.919,-1.7614
-50,-1.0443,-0.2167,-2.3932,-2.4831,-1.8176,-1.7427,-1.5152,-1.3484,-1.2172,0.0512,-1.62,-1.421,-2.2606,-2.1884,-2.055,-1.9224,-1.9032,-1.7957,-2.1165,-2.0325,-1.7247,-1.6915,-1.551,-1.3552,-1.3439,-1.3452,0.0277,-0.2695,-0.4294,-0.5551,-0.559,-2.2313,-1.8644,-1.7136,-1.879,-1.7669,-0.7735,-0.8467,-1.9148,-1.7774,-0.9637,-1.0157,-1.8276
-45,-1.036,-0.1622,-2.438,-2.5438,-1.8626,-1.7565,-1.585,-1.3592,-1.3152,-0.0258,-1.6016,-1.5065,-2.2827,-2.2591,-2.0741,-2.0111,-1.9349,-1.8521,-2.1338,-2.1031,-1.7591,-1.7883,-1.5359,-1.4283,-1.3913,-1.4382,-0.0027,-0.3393,-0.4505,-0.6421,-0.5664,-2.2815,-1.8775,-1.7811,-1.8922,-1.8523,-0.8009,-0.9337,-1.9287,-1.8455,-0.9925,-1.1046,-1.879
-40,-1.0166,-0.1047,-2.4694,-2.5882,-1.8986,-1.7569,-1.6507,-1.3559,-1.4023,-0.1075,-1.5667,-1.5831,-2.2905,-2.321,-2.0812,-2.0875,-1.956,-1.9011,-2.1381,-2.1632,-1.7808,-1.8743,-1.5095,-1.4976,-1.4261,-1.5232,-0.0271,-0.4072,-0.4607,-0.7231,-0.5735,-2.3187,-1.8782,-1.8426,-1.8917,-1.927,-0.8174,-1.0139,-1.9302,-1.9067,-1.0101,-1.186,-1.9179
-35,-0.9925,-0.0477,-2.4915,-2.6194,-1.928,-1.7467,-1.7129,-1.3427,-1.4805,-0.1896,-1.5206,-1.6523,-2.289,-2.3765,-2.0801,-2.1544,-1.9714,-1.946,-2.1325,-2.2154,-1.7927,-1.9515,-1.4758,-1.5614,-1.4514,-1.6009,-0.0471,-0.4723,-0.4626,-0.7978,-0.5793,-2.3463,-1.8707,-1.8992,-1.8815,-1.9934,-0.8259,-1.0879,-1.9231,-1.9624,-1.0193,-1.2606,-1.9475
-30,-0.97,0.0066,-2.5082,-2.6414,-1.9532,-1.7307,-1.7735,-1.3237,-1.5514,-0.2662,-1.468,-1.7147,-2.2841,-2.4281,-2.0748,-2.2148,-1.9861,-1.9888,-2.121,-2.2622,-1.7983,-2.0216,-1.4386,-1.6174,-1.4699,-1.6715,-0.0652,-0.5331,-0.4594,-0.8659,-0.5848,-2.3676,-1.8599,-1.952,-1.8655,-2.0533,-0.8296,-1.1554,-1.9121,-2.014,-1.0233,-1.3287,-1.9707
-25,-0.9532,0.0593,-2.5223,-2.657,-1.9752,-1.7138,-1.8342,-1.3017,-1.6148,-0.3314,-1.4132,-1.7703,-2.2796,-2.4773,-2.0674,-2.2696,-2.0039,-2.0305,-2.1064,-2.3045,-1.8003,-2.0852,-1.4007,-1.6652,-1.4841,-1.7346,-0.0847,-0.5865,-0.455,-0.9259,-0.5916,-2.3848,-1.8495,-2.0018,-1.8468,-2.1074,-0.8314,-1.2154,-1.9009,-2.0624,-1.0252,-1.3894,-1.9896
-20,-0.9424,0.1115,-2.5347,-2.667,-1.9933,-1.6994,-1.896,-1.2768,-1.6687,-0.3823,-1.3576,-1.8179,-2.276,-2.5248,-2.0575,-2.3179,-2.0264,-2.0711,-2.0896,-2.3423,-1.7988,-2.1412,-1.3634,-1.7061,-1.4943,-1.7888,-0.1053,-0.6303,-0.4503,-0.976,-0.6001,-2.3983,-1.8413,-2.0495,-1.8259,-2.1548,-0.8317,-1.2659,-1.8909,-2.1081,-1.0251,-1.441,-2.0041
-15,-0.9343,0.1637,-2.5447,-2.6707,-2.0049,-1.6881,-1.9569,-1.247,-1.7107,-0.4213,-1.3003,-1.8552,-2.2718,-2.5703,-2.0423,-2.3583,-2.0516,-2.1111,-2.0692,-2.3751,-1.7913,-2.1873,-1.3266,-1.7403,-1.4985,-1.8324,-0.122,-0.664,-0.4423,-1.0144,-0.6079,-2.4068,-1.8345,-2.0946,-1.8008,-2.194,-0.8274,-1.3054,-1.8815,-2.1507,-1.0202,-1.4818,-2.0122
-10,-0.9251,0.2158,-2.5517,-2.6674,-2.0075,-1.6792,-2.0136,-1.2108,-1.7396,-0.4533,-1.2407,-1.8814,-2.2655,-2.6133,-2.0193,-2.39,-2.0769,-2.1523,-2.0441,-2.4034,-1.7761,-2.2226,-1.2894,-1.7674,-1.4947,-1.8644,-0.1309,-0.6884,-0.4283,-1.0406,-0.6112,-2.4089,-1.8278,-2.1367,-1.77,-2.2243,-0.8162,-1.3333,-1.871,-2.19,-1.0081,-1.5111,-2.0123
-5,-0.9118,0.2652,-2.5553,-2.6572,-2.0009,-1.6708,-2.0644,-1.1695,-1.7569,-0.4815,-1.1782,-1.8975,-2.2562,-2.6546,-1.9888,-2.4137,-2.1004,-2.1954,-2.0149,-2.4286,-1.754,-2.2481,-1.251,-1.7889,-1.4837,-1.8867,-0.1319,-0.7067,-0.4083,-1.057,-0.6102,-2.4045,-1.8196,-2.1758,-1.734,-2.247,-0.7984,-1.3518,-1.8587,-2.2264,-0.9895,-1.5311,-2.0046
0,-0.8927,0.3087,-2.5539,-2.6398,-1.9853,-1.662,-2.1085,-1.124,-1.765,-0.5062,-1.112,-1.905,-2.2425,-2.6933,-1.9516,-2.4288,-2.1201,-2.2382,-1.9814,-2.4503,-1.7262,-2.2654,-1.2106,-1.8061,-1.4663,-1.9019,-0.1276,-0.7226,-0.3834,-1.0677,-0.6058,-2.393,-1.8088,-2.2115,-1.6928,-2.2624,-0.7753,-1.3643,-1.8433,-2.2593,-0.9655,-1.5445,-1.9897
5,-0.8689,0.3442,-2.5442,-2.613,-1.96,-1.6521,-2.1468,-1.0734,-1.7652,-0.5275,-1.0405,-1.904,-2.2225,-2.7251,-1.9066,-2.4324,-2.1344,-2.2776,-1.9419,-2.4645,-1.6916,-2.2743,-1.1669,-1.8198,-1.4425,-1.911,-0.1208,-0.7389,-0.3543,-1.0761,-0.5982,-2.3724,-1.794,-2.2423,-1.6452,-2.2688,-0.7477,-1.3728,-1.8236,-2.2867,-0.9365,-1.5531,-1.9662
