time,VEOG,HEOG,FZ,CZ,PZ,F7,F8,T5,T6,A2,T3,T4,F3,F4,C3,C4,AF3,AF4,FC3,FC4,CP3,CP4,FT7,FT8,P3,P4,PO7,PO8,P5,P6,OZ,Midline,LF,RF,LC,RC,LP,RP,LF_5s,RF_5s,LP_5s,RP_5s,ROI
-80,-0.39,-0.3243,-1.371,-0.9736,-0.6149,-1.232,-0.9121,-0.4252,0.0322,0.4516,-0.9335,-0.4018,-1.2528,-1.1394,-0.8812,-0.647,-1.1331,-1.0722,-1.0758,-0.8839,-0.5577,-0.3263,-1.1226,-0.6843,-0.2271,-0.0926,0.4229,0.4871,0.2346,0.4913,-0.193,-0.9865,-1.1851,-0.952,-0.862,-0.5647,0.0013,0.2295,-1.1633,-0.9384,-0.1105,0.1183,-0.5952
-75,-0.4375,-0.2921,-1.4701,-1.0826,-0.6865,-1.2682,-0.9971,-0.4721,-0.0661,0.407,-0.9762,-0.4975,-1.3292,-1.2489,-0.9625,-0.7555,-1.1948,-1.148,-1.1495,-0.9887,-0.631,-0.42,-1.1654,-0.7663,-0.2924,-0.1795,0.4251,0.4376,0.21,0.4108,-0.1827,-1.0797,-1.2394,-1.0401,-0.9298,-0.6655,-0.0324,0.1507,-1.2214,-1.0298,-0.1521,0.0365,-0.6787
-70,-0.4818,-0.2559,-1.558,-1.1896,-0.7532,-1.2904,-1.073,-0.5125,-0.1636,0.3541,-1.0071,-0.5877,-1.3975,-1.3476,-1.0394,-0.8563,-1.2467,-1.2117,-1.2153,-1.0843,-0.7011,-0.5116,-1.191,-0.8384,-0.3578,-0.266,0.4233,0.3842,0.1831,0.3251,-0.1711,-1.1669,-1.2814,-1.1177,-0.9907,-0.76,-0.066,0.0699,-1.2682,-1.111,-0.193,-0.0464,-0.759
-65,-0.52,-0.2177,-1.6347,-1.2944,-0.8172,-1.2997,-1.1375,-0.548,-0.2595,0.2968,-1.0262,-0.6691,-1.4575,-1.4352,-1.1111,-0.9478,-1.2891,-1.2673,-1.2731,-1.1697,-0.7685,-0.6013,-1.198,-0.8984,-0.4237,-0.3532,0.4157,0.3281,0.1538,0.2342,-0.1606,-1.2488,-1.3111,-1.1846,-1.0447,-0.847,-0.1006,-0.0126,-1.3035,-1.1816,-0.2342,-0.1303,-0.8363
-60,-0.5524,-0.1786,-1.7003,-1.3957,-0.8801,-1.2978,-1.1883,-0.58,-0.3545,0.2391,-1.0345,-0.7408,-1.508,-1.5125,-1.1755,-1.03,-1.3237,-1.3177,-1.3217,-1.2452,-0.8328,-0.69,-1.1889,-0.9453,-0.4902,-0.4424,0.4012,0.2681,0.1218,0.1383,-0.1526,-1.3254,-1.3296,-1.241,-1.0911,-0.9265,-0.1368,-0.0976,-1.328,-1.2418,-0.276,-0.2161,-0.9103
-55,-0.5803,-0.1389,-1.7551,-1.4911,-0.9425,-1.2876,-1.2245,-0.6093,-0.449,0.1834,-1.0331,-0.8037,-1.5483,-1.5803,-1.2307,-1.1039,-1.352,-1.3631,-1.3602,-1.3119,-0.8931,-0.7778,-1.1679,-0.9791,-0.557,-0.5339,0.379,0.2024,0.0872,0.0387,-0.1477,-1.3962,-1.3389,-1.2868,-1.1293,-0.9993,-0.175,-0.1854,-1.3432,-1.2918,-0.3186,-0.3039,-0.9804
-50,-0.6046,-0.0992,-1.7989,-1.5779,-1.0043,-1.2713,-1.2473,-0.6355,-0.5423,0.13,-1.0222,-0.8589,-1.5773,-1.639,-1.2754,-1.171,-1.3735,-1.4013,-1.3874,-1.3711,-0.9484,-0.864,-1.1392,-1.0025,-0.6229,-0.6264,0.3495,0.13,0.0516,-0.0617,-0.1463,-1.4604,-1.3403,-1.3225,-1.1584,-1.0663,-0.2143,-0.2751,-1.3498,-1.3322,-0.3611,-0.3929,-1.0457
-45,-0.6246,-0.0593,-1.8317,-1.6542,-1.0655,-1.2496,-1.2611,-0.6581,-0.632,0.0788,-1.0026,-0.9076,-1.5947,-1.6897,-1.3092,-1.2327,-1.3873,-1.431,-1.4036,-1.4241,-0.9987,-0.9477,-1.1048,-1.0197,-0.687,-0.718,0.3134,0.0531,0.0161,-0.1587,-0.149,-1.5172,-1.3341,-1.3503,-1.1785,-1.128,-0.2539,-0.3639,-1.348,-1.3651,-0.4029,-0.4807,-1.106
-40,-0.6395,-0.0195,-1.8535,-1.7203,-1.1266,-1.2222,-1.2698,-0.6773,-0.7164,0.03,-0.9758,-0.9504,-1.6009,-1.7328,-1.3332,-1.2911,-1.3921,-1.4509,-1.4103,-1.4716,-1.0443,-1.0287,-1.0647,-1.0336,-0.749,-0.807,0.2714,-0.0231,-0.0189,-0.2482,-0.1568,-1.5668,-1.32,-1.3718,-1.1909,-1.1854,-0.2934,-0.4487,-1.338,-1.3917,-0.4436,-0.5647,-1.1615
-35,-0.6506,0.0182,-1.8635,-1.7771,-1.1881,-1.1894,-1.2741,-0.6937,-0.7953,-0.0155,-0.9441,-0.9884,-1.596,-1.7676,-1.3491,-1.3476,-1.3859,-1.4586,-1.4088,-1.5143,-1.0856,-1.1076,-1.0194,-1.0441,-0.8085,-0.8927,0.2248,-0.0948,-0.0536,-0.3283,-0.1708,-1.6096,-1.2977,-1.3861,-1.1969,-1.2395,-0.3328,-0.5278,-1.3199,-1.4118,-0.4833,-0.6437,-1.2132
-30,-0.6592,0.0515,-1.8609,-1.8249,-1.2495,-1.1508,-1.2721,-0.7078,-0.8684,-0.0564,-0.9093,-1.022,-1.5794,-1.7922,-1.3575,-1.4023,-1.3674,-1.4527,-1.3998,-1.5519,-1.1222,-1.1844,-0.9696,-1.0495,-0.8646,-0.9753,0.175,-0.1612,-0.0874,-0.3995,-0.1915,-1.6451,-1.2668,-1.3916,-1.1972,-1.2902,-0.3712,-0.6011,-1.2934,-1.4237,-0.5214,-0.7178,-1.2606
-25,-0.6633,0.0794,-1.8465,-1.8637,-1.3095,-1.1058,-1.2624,-0.7197,-0.9353,-0.0921,-0.8719,-1.052,-1.5526,-1.8051,-1.359,-1.4535,-1.3385,-1.4356,-1.3845,-1.5835,-1.1535,-1.2585,-0.9179,-1.0491,-0.9166,-1.0551,0.1231,-0.2244,-0.1202,-0.4644,-0.2197,-1.6733,-1.2287,-1.3881,-1.1922,-1.3369,-0.4084,-0.6698,-1.2599,-1.4272,-0.5574,-0.7875,-1.3032
-20,-0.6593,0.1013,-1.8233,-1.8934,-1.3662,-1.0563,-1.246,-0.7286,-0.9951,-0.1216,-0.832,-1.0784,-1.5197,-1.8071,-1.3547,-1.4995,-1.3039,-1.4123,-1.3651,-1.6095,-1.1792,-1.328,-0.8673,-1.043,-0.9635,-1.1313,0.0717,-0.2853,-0.1512,-0.5242,-0.2537,-1.6943,-1.1868,-1.3771,-1.1827,-1.3788,-0.4429,-0.734,-1.2224,-1.4236,-0.5902,-0.8528,-1.3401
