         worklat,       value,     chindex,     chlabel,        bini,                         binlabel,grammar,word_type,ERPset,ID,Accuracy,subjectID,reading_speed,comprehension_score,Experiment,Sex,Age,Years of Formal Education,Occupation,Vividness,Control
  [300.0  500.0],-1.633,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
  [300.0  500.0],1.017,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
  [300.0  500.0],0.549,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,25,25,0.94,,,,,,,,Student,,
  [300.0  500.0],0.87,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
  [300.0  500.0],-0.022,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
  [300.0  500.0],-1.628,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
  [300.0  500.0],0.638,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
  [300.0  500.0],1.441,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
  [300.0  500.0],-0.644,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
  [300.0  500.0],0.69,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
  [300.0  500.0],-0.103,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
  [300.0  500.0],-0.901,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
  [300.0  500.0],0.276,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
  [300.0  500.0],1.092,2,        HEOG,2,incorrect_Verb_in_correct_Pronoun,bad,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
