Experiment,         worklat,       value,     chindex,     chlabel,        bini,                         binlabel,grammar,word_type,ERPset,ID,Accuracy,subjectID,reading_speed,comprehension_score,Experiment,Sex,Age,Years of Formal Education,Occupation,Vividness,Control
APS_Silent,  [600.0  800.0],-1.252,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
APS_Silent,  [600.0  800.0],-1.84,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
APS_Silent,  [600.0  800.0],1.443,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
APS_Silent,  [600.0  800.0],-2.506,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
APS_Silent,  [600.0  800.0],-1.354,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,25,25,0.94,,,,,,,,Student,,
APS_Silent,  [600.0  800.0],-1.413,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
APS_Silent,  [600.0  800.0],-3.384,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
APS_Silent,  [600.0  800.0],0.259,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
APS_Silent,  [600.0  800.0],-2.021,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
APS_Silent,  [600.0  800.0],-3.32,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
APS_Silent,  [600.0  800.0],0.631,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
APS_Silent,  [600.0  800.0],-0.723,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
APS_Silent,  [600.0  800.0],-0.474,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
APS_Silent,  [600.0  800.0],0.334,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
APS_Silent,  [600.0  800.0],-4.83,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
APS_Silent,  [600.0  800.0],-0.084,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
APS_Silent,  [600.0  800.0],-1.438,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
APS_Silent,  [600.0  800.0],1.883,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
APS_Silent,  [600.0  800.0],-0.746,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,49,49,0.89,s49L10,223,32,APS_Silent,Male,19,12,Student,92,87
APS_Silent,  [600.0  800.0],0.293,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,51,51,0.95,s51L12,364,35,APS_Silent,Female,19,13,Student,80,78
APS_Silent,  [600.0  800.0],0.776,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
APS_Silent,  [600.0  800.0],-0.056,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
APS_Silent,  [600.0  800.0],-1.853,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
APS_Silent,  [600.0  800.0],1.263,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
APS_Silent,  [600.0  800.0],-1.553,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
APS_Silent,  [600.0  800.0],-1.301,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
APS_Silent,  [600.0  800.0],-2.461,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
APS_Silent,  [600.0  800.0],-2.499,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
APS_Silent,  [600.0  800.0],-2.105,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
APS_Silent,  [600.0  800.0],0.461,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
APS_Silent,  [600.0  800.0],0.536,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
,  [600.0  800.0],0.431,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
,  [600.0  800.0],1.66,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
,  [600.0  800.0],3.158,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
,  [600.0  800.0],8.111,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
,  [600.0  800.0],6.193,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
,  [600.0  800.0],5.46,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
,  [600.0  800.0],5.13,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
,  [600.0  800.0],4.213,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
,  [600.0  800.0],10.494,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
,  [600.0  800.0],5.859,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
,  [600.0  800.0],1.633,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
,  [600.0  800.0],6.098,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
,  [600.0  800.0],-0.185,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
,  [600.0  800.0],-0.246,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
,  [600.0  800.0],3.271,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
,  [600.0  800.0],0.764,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,25,25,0.94,,,,,,,,Student,,
,  [600.0  800.0],2.074,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
,  [600.0  800.0],5.688,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
,  [600.0  800.0],6.918,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
,  [600.0  800.0],9.195,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
,  [600.0  800.0],4.132,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
,  [600.0  800.0],7.615,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
,  [600.0  800.0],3.775,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
,  [600.0  800.0],2.157,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
,  [600.0  800.0],7.999,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
,  [600.0  800.0],2.75,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
,  [600.0  800.0],7.382,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
,  [600.0  800.0],3.494,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
,  [600.0  800.0],3.128,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
,  [600.0  800.0],5.907,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,49,49,0.89,s49L10,223,32,APS_Silent,Male,19,12,Student,92,87
,  [600.0  800.0],11.741,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,51,51,0.95,s51L12,364,35,APS_Silent,Female,19,13,Student,80,78
,  [600.0  800.0],4.38,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
,  [600.0  800.0],4.183,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
,  [600.0  800.0],6.047,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
,  [600.0  800.0],6.64,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
,  [600.0  800.0],3.749,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
,  [600.0  800.0],1.065,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
,  [600.0  800.0],7.473,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
,  [600.0  800.0],4.096,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
,  [600.0  800.0],0.742,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
,  [600.0  800.0],1.946,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
,  [600.0  800.0],2.709,15,          C3,1,  Correct_Verb_in_Correct_Pronoun,good,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
,  [600.0  800.0],1.875,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
,  [600.0  800.0],0.368,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
,  [600.0  800.0],2.269,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
,  [600.0  800.0],3.115,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
,  [600.0  800.0],2.089,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
,  [600.0  800.0],5.001,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
,  [600.0  800.0],4.656,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
,  [600.0  800.0],1.014,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
,  [600.0  800.0],6.841,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
,  [600.0  800.0],2.215,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
,  [600.0  800.0],2.11,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
,  [600.0  800.0],4.809,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
,  [600.0  800.0],-0.243,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
,  [600.0  800.0],-0.775,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
,  [600.0  800.0],0.76,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
,  [600.0  800.0],-0.207,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,25,25,0.94,,,,,,,,Student,,
,  [600.0  800.0],2.298,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
,  [600.0  800.0],5.72,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
,  [600.0  800.0],6.106,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
,  [600.0  800.0],13.894,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
,  [600.0  800.0],0.051,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
,  [600.0  800.0],5.193,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
,  [600.0  800.0],1.184,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
,  [600.0  800.0],1.142,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
,  [600.0  800.0],5.351,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
,  [600.0  800.0],-1.352,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
,  [600.0  800.0],3.028,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
,  [600.0  800.0],3.566,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
,  [600.0  800.0],2.363,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
,  [600.0  800.0],3.461,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,49,49,0.89,s49L10,223,32,APS_Silent,Male,19,12,Student,92,87
,  [600.0  800.0],11.94,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,51,51,0.95,s51L12,364,35,APS_Silent,Female,19,13,Student,80,78
,  [600.0  800.0],3.721,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
,  [600.0  800.0],4.696,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
,  [600.0  800.0],2.125,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
,  [600.0  800.0],5.487,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
,  [600.0  800.0],3.123,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
,  [600.0  800.0],-2.099,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
,  [600.0  800.0],3.806,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
,  [600.0  800.0],1.504,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
,  [600.0  800.0],-0.604,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
,  [600.0  800.0],0.991,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
,  [600.0  800.0],1.216,16,          C4,1,  Correct_Verb_in_Correct_Pronoun,good,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
,  [600.0  800.0],2.71,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
,  [600.0  800.0],3.373,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
,  [600.0  800.0],3.088,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
,  [600.0  800.0],8.516,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
,  [600.0  800.0],6.237,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
,  [600.0  800.0],6.807,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
,  [600.0  800.0],7.459,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
,  [600.0  800.0],3.396,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
,  [600.0  800.0],9.718,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
,  [600.0  800.0],5.591,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
,  [600.0  800.0],3.973,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
,  [600.0  800.0],8.702,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
,  [600.0  800.0],0.75,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
,  [600.0  800.0],0.057,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
,  [600.0  800.0],2.522,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
,  [600.0  800.0],0.855,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,25,25,0.94,,,,,,,,Student,,
,  [600.0  800.0],3.222,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
,  [600.0  800.0],8.364,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
,  [600.0  800.0],8.178,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
,  [600.0  800.0],10.823,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
,  [600.0  800.0],3.5,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
,  [600.0  800.0],8.23,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
,  [600.0  800.0],3.467,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
,  [600.0  800.0],2.741,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
,  [600.0  800.0],8.34,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
,  [600.0  800.0],1.437,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
,  [600.0  800.0],5.16,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
,  [600.0  800.0],5.62,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
,  [600.0  800.0],4.426,4,          CZ,1,  Correct_Verb_in_Correct_Pronoun,good,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
